,WB_changes_open,WBDefinition,Happiness_Change,LifeSatisfaction_Change,PhysicalHealth_Change,MentalHealth_Change,MeaningPurpose_Change,CharacterVirtue_Change,SocialRelationships_Change,Financial_Change,Spirituality_Change,Education_Change,Employment_Change,Recreation_Change,SelfEsteem_Change,Family_Change,Safety_Change,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,Study_Rating,MindfulnessChanges_open,StressChanges_open,StudyExpectation_open,ChangesWithinSelf_open,Suggestions_open,Chatbot_supportive,Chatbot_easy,Chatbot_efficient,Chatbot_clear,Chatbot_exciting,Chatbot_interesting,Chatbot_inventive,Chatbot_leadingedge,Chatbot_Rating,Chatbot_LikeDislike,Study_supportive,Study_easy,Study_efficient,Study_clear,Study_exciting,Study_interesting,Study_inventive,Study_leadingedge,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,Condition,RandomID,id,BaselineDate,Time
170,I feel like I am more connected to the people around me and I have developed a deeper relationship with the people who are important to me.,Mental and physical health and the relationships you have with people in the surrounding.,5,5,5,5,5,5,5,3,4,4,3,3,4,4,4,"Close Social Relationships,Family,Safety",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,No,NA,6,Being in the moment and not letting external factors such as thoughts control your emotions.,Stress is when someone feels like they cannot control their external factors,It has enlightened me in ways of seeing mindfulness in a way I have never seen before.,I have developed a larger understanding for mindfulness and I have had a stronger relationship with those around me.,no,6,6,6,6,4,4,6,6,6,I like the survey however there are only 3 mindful exercise to do so once you have done them all you will be redoing the same ones.,NA,NA,NA,NA,NA,NA,NA,NA,43,3,35,90,36,41,40,6,71,30,30,30,4,17,6,8,4,6,7,45,9,8,8,7,13,12,12,14,25,34,18,Choice,1227,6064,9/23/2023,2
171,"Before this study, I thought wellbeing was something which is hard to attain but after the study I realized that small mindfulness exercises and reflections can help increase mindfulness. ","For me, wellbeing means finding a balance that works. It's about keeping physically healthy, staying emotionally grounded, and having a clear sense of purpose. It's not about perfection, but about aligning with what matters to me, forming meaningful connections, and living a life that feels genuine and fulfilling.",3,4,3,4,4,3,3,3,3,3,3,3,4,3,3,"Education,Physical Health,Happiness",3,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,No,NA,5,It was not changed and it was confirmed by how many of the exercises involved me relaxing and reflecting,It has been confirmed by how the exercises enforced that it needs to be treated and cared for,"I expected this training to be helpful and insightful, as it was helping my mindfulness",I noticed nothing about myself changed during the study ,I have no suggestions ,5,6,5,4,4,4,5,6,6,I found the chatbot cute and easy to use since the questions it was asking were not lengthy or overwhelming. It gave great mindfulness advice which I can see myself using in the future,NA,NA,NA,NA,NA,NA,NA,NA,40,3,24,54,18,35,30,5,42,20,17,17,5,12,8,8,7,7,6,37,6,9,6,9,7,7,11,10,13,15,13,Domain,6084,4312,9/22/2023,2
173,I'm trying to do the exercises I learned about when I feel stressed or my negative thoughts taking over.,"Wellbeing is the state of health, physically and mentally. It also could mean state of happiness. It is also linked  to life satisfaction. If someone has low wellbeing then they are more at risk for depression. ",4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,"Physical Health,Mental Health,Life Satisfaction",NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,"Yes, I learned new mindfulness techniques that can help me in my daily life to improve my overall wellbeing. ","The exercise where I had to picture my problems like clouds and I'm the sky helped understand that stress and negative thoughts come and go so it helps if we stay calm rather that reacting immediately, ",It helped understand the techniques for mindfulness by just practicing for five minutes a day. ,I started looking more at the positive factors that come with my negative thoughts. If I'm stressed about how much work I have to do I remember that I am studying at my dream school.,no thank you,7,7,7,7,5,7,7,7,7,It was pretty interesting talking to the chatbot because it felt like I was talking to a real person. Really scary to think robots may replace psychologists one day.,NA,NA,NA,NA,NA,NA,NA,NA,44,3,25,51,31,34,32,5,56,19,16,16,5,14,4,7,9,8,7,38,11,7,7,6,7,11,12,11,22,26,11,Choice,2464,6658,9/28/2023,2
174,I learned new exercises which helped me to be calm in situations ,I think it means your overall mental health and how it reflects on other situations ,2,3,3,2,2,4,5,5,5,4,3,5,5,3,4,"Education,Mental Health,Happiness",3,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,No,NA,5,It didn’t. I knew what mindfulness was before this survey. But the exercises did help me in my daily life. I could do the exercises anywhere and anytime ,It did. I learnt to cope better with the stress and not let it pile up. I also understood my thoughts better which helped with the stress that came,It was an easy training. I did not find it tedious or mentally taxing. It helped in just the right way ,Nothing changed. I still feel like my old self. But I do feel a little bit less stressed out and calmer than before. ,Nope. This study was easy to comprehend and do. And I enjoyed it. ,5,7,7,7,3,7,7,7,6,I liked that it understood what my problem was that day and tweaked its comments regarding that issue.,NA,NA,NA,NA,NA,NA,NA,NA,53,3,27,53,33,29,36,4,60,17,18,18,3,12,3,6,5,9,10,51,11,8,11,11,10,9,13,15,17,22,16,Choice,7744,6907,9/28/2023,2
176,"I believe it has improved ever so slightly, because for the past week I've veen partaking in mindfulness activities that I feel were beneficial to the betterment ofmy wellbeing. ","Mental & physical state, & are in good/bad condition ",4,3,3,4,3,3,3,3,4,4,3,3,4,3,3,"Happiness,Character and Virtue,Financial and Material Stability",1,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,No,NA,7,My understanding was correct based on the activities.,"No, based on the activities I know what stress is.",I'm not sure. I didn't have any expectations going in.,I've felt more relaxed duringthe day post the activity,N/A,5,7,6,7,4,4,4,4,7,I thought they were easy to communicate with & provided helpful support. ,NA,NA,NA,NA,NA,NA,NA,NA,29,3,39,55,36,36,12,4,75,27,16,12,5,12,4,4,6,7,8,41,9,5,12,7,8,15,11,12,9,6,1,Domain,8827,6838,9/28/2023,2
177,I feel calmer and able to manage my stress in a positive manner.,Well-being refers to taking care of your mental health and feeling positive. It is a state of relaxation and mental peace that allows individuals to succeed in their life. It is a sense of happiness that stems from a healthy mind and body.,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,"Spirituality,Family,Mental Health",NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,No,NA,5,Something that was confirmed to me was how there are various ways of increasing one's overall level of happiness and positive emotions.,Something that was confirmed was that stress can be triggered from anything and it refers to having prolonged feelings of nervousness and worry.,This training has met my goals and expectations as it has given me resources to cater to various aspects of my life.,I was able to take five-ten minutes to take to myself and prioritize my wellbeing.,A suggestion I would have is to make the survey colorful and aesthetic.,7,6,7,6,4,4,3,3,5,I thought the chatbot was easy and straightforward.,NA,NA,NA,NA,NA,NA,NA,NA,43,3,30,62,26,37,17,4,56,16,17,29,4,12,7,9,10,8,5,56,11,13,15,9,8,14,14,15,25,25,20,Domain,9470,7072,9/28/2023,2
178,I've felt calmer since reflecting on my emotions and overall life every day,"well being is the ability to feel happy in yourself and in the world, the lack of mental illness, and being calm and content in general",4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,"Financial and Material Stability,Mental Health,Family",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,No,NA,5,"no, my understanding of mindfulness hasn't changed. i had a pretty solid definition in my mind before the study, and participating in the study hasn't caused by mental definition to change at all.","No, my understanding of stress hasn't changed. i had a good definition of it in my mind before the study, and it hasn't deviated since going the study.",I have felt a bit calmer lately with all the self reflection,"im a bit calmer and happier compare to how i was before the study, as i never really did much self reflection daily in the past",no,7,7,7,7,4,5,4,3,5,"Chatbot was kind and supportive, but i honestly found it to be super repetitive. I had to cycle between only 3 meditation/reflection options for a whole week, which got boring and stale. although the bots personality was very sweet and felt like speaking to a friend, it got old as time progressed. ",NA,NA,NA,NA,NA,NA,NA,NA,51,3,17,44,15,40,25,4,32,24,10,10,5,12,4,8,7,10,9,47,10,9,11,11,6,10,9,9,20,20,11,Choice,1366,7168,9/29/2023,2
179,A little bit,"How aware you are of your surroundings, thoughts and emotions.",4,4,4,3,3,3,4,3,4,4,3,3,4,5,4,"Financial and Material Stability,Family,Physical Health",NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,Yes,spirituality and mental health ,5,"yes, I have now been aware of different sensations and thought processes",No I completely understand that stress tension or strain in you metal health that can sometimes be controlled ,It has made me understand feelings and sensations differently ,"Mostly the same, as some of the things that happen in my mind have been happening with me for years and may be hard to change.","I wish some of the mindfulness practices were slightly different, as most were just meditation for minutes, I did really enjoy the times I had to do some minutes of my hobbies for one the mindfulness exercises. ",7,6,6,6,7,7,5,6,7,I really enjoyed talking with the chatbot as it was able to answer any question I asked it.,NA,NA,NA,NA,NA,NA,NA,NA,53,3,32,79,31,34,33,5,63,28,23,28,5,18,8,9,8,7,6,45,10,7,8,10,10,13,11,12,34,23,17,Domain,3213,5404,9/29/2023,2
181,My wellbeing has increased sufficiently ,The term “wellbeing” refers to ones own mental health and wellness. ,4,4,4,5,5,3,3,3,4,4,3,3,4,3,3,"Family,Mental Health,Meaning  and Purpose of Life",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,6,"Mindfulness is ones ability to be aware of their emotions. I am unsure what I put as my answer previously. This was confirmed to me through the week with the chatbot, which focused on mindfulness.",My understanding of stress has stayed the same.  It is anything in ones life that may negatively effect their wellbeing or mindfulness.,"The training exceeded my goals and expectations. Going in to the training, I was unsure what to expect.",I have noticed myself being more aware of my stressors and how to control the feeling of stress.,The chat bot sends information pretty quick. I think that there should be more time in between its messages as to not overwhelm anyone.,7,7,7,6,7,7,7,7,6,The chatbot was very easy to talk to. The only thing I dislikes about it was how fast it sent text back-to-back,NA,NA,NA,NA,NA,NA,NA,NA,43,3,34,81,41,44,18,7,75,25,26,30,6,19,4,9,8,7,9,56,15,10,8,12,11,13,9,13,30,35,29,Choice,3939,6127,9/30/2023,2
182,It has been more positive since I am now determined to always find the good in the bad. I am also going to put lots of focus into my education which will help me feel less stressed,"The term is relatively the same as it was before. if I were to add on to the meaning, I would say that it is important to look within and notice aspects of yourself that you might not want to confront. For example, it is important to know when you are stressed and learn how you individually need to cope with stress.",5,5,4,5,5,4,5,4,5,4,4,4,5,5,4,"Meaning  and Purpose of Life,Family,Life Satisfaction",NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Yes,sleep,7,"my understanding on mindfulness has changed because now I think it includes being mindful of others around me. Before I only really considered my own self, but now I think being mindful of people I am close with (or not close with) will help me understand life better.","I did notice my stress levels change. During the week (when doing these exercises), my stress levels were more high and I felt bad. But today (at the end), I feel more hopeful like I can get the things I want done and do good at them.","I didn't have super high expectations for the training. But after completing it, I think it surpassed my expectations since I wasn't aiming for there to be a major change on how I view things.","My confidence and focus has change. in terms of confidence, it has gone up and my focus has gotten better. Also my diet has become better as well.",no,6,7,6,7,5,5,5,5,7,I liked that it was interactive and really focuses on mindset and wellbeing. I liked that the duration of the daily exercises were not too long and were mostly multiple choice.,NA,NA,NA,NA,NA,NA,NA,NA,31,3,35,91,42,35,31,7,77,28,35,28,7,20,7,8,8,4,7,65,14,14,10,13,14,15,15,15,35,35,16,Domain,7553,4993,9/30/2023,2
183,"My wellbeing has changed a little bit in the sense that sometimes, I would say I'm more calm. However, this week, there had been a lot of circumstances where things haven't gone my way, so I've been a lot more stressed. ",Wellbeing is being in a state of not feeling stressed or depressed. That's how I would define it.,4,3,2,3,3,2,4,4,3,3,3,3,3,4,4,"Mental Health,Close Social Relationships,Meaning  and Purpose of Life",NA,NA,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,5,"No, not really because I've always involved a sort of mindfulness practice for myself through meditation and gratitude journalling, which are nice practices. I'm really happy I'm improving aspects of my life whereby my mind is a lot more calm now, which has been a relief. ",My understanding of stress changed in the sense that I learned how the thoughts and emotions in your mind determine how anxious or how much anxiety you feel in your body. ,I have understood how are some of the ways you should calm your mind and your body to feel more happy. These are some of the practices I'd probably use too to calm myself in stressful situations. ,"I don't think I've really changed over the course of the study, as I've incorporated most of these habits already. I'm glad that meditation has scientific evidence to improving your mental health, which I feel happy about. ","No, no suggestions. I believe this was a good study. ",5,7,7,7,3,5,4,2,5,The chatbot was pretty cool. I found that I know some of the ways I can use to calm my body and mind so then I could live more fulfilled and happy. ,NA,NA,NA,NA,NA,NA,NA,NA,43,3,26,65,32,34,20,6,58,22,19,24,5,13,6,7,7,7,6,43,9,13,5,7,9,12,7,13,26,25,7,Domain,2359,7177,9/30/2023,2
188,I feel like I have become better at dealing with stress and overall better at thinking. ,It’s the human state of mind where it’s healthy or happy and peaceful. ,1,2,1,1,1,1,2,3,1,2,3,3,1,3,3,"Happiness,Life Satisfaction,Financial and Material Stability",1,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,No,NA,7,I feel like imma mindfulness have changed a little because there day whenever I do something I watch myself do that thing in the moment and get the time to think before acting. I’m the past I act without thinking anything but nowday I do think before doing something  ,"I don’t think so, I still have a lot of stress due to the school and outside of sxhool. I still can’t deal with it. ",The training was a great opportunity for me to know about things I don’t fully know so I’ll say about 75 out of 100,The way of thinking has changed becasue these day I start looking things from different perspectives ,No he training was fun and it was great ,7,7,6,7,6,7,7,6,7,Well I was surprised of how good that chatbot was. I didn’t expect it to be that good and tbh at some point I thought it’s a human/ ,NA,NA,NA,NA,NA,NA,NA,NA,44,3,22,64,23,33,47,5,45,22,20,22,5,9,6,7,7,10,8,38,8,5,7,9,9,8,8,8,13,26,15,Choice,9568,3376,9/30/2023,2
190,i don't think its changed much,wellbeing still means the same to me; being happy and comfortable with your current life,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,"Mental Health,Financial and Material Stability,Safety",NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,No,NA,5,i don't think my understanding of mindfulness changed since i already had a solid understanding of it,i understand now that there are many different ways that i can go about getting rid of stress instead of being stuck with feeling it,"i didn't really have any goals or expectations going into this training, but i am happy to have learned some mindfulness techniques",i enjoy doing the mindfulness activities now since i have many to choose from,no,7,7,6,6,4,4,6,4,5,the chatbot was interesting and generated a lot of engaging mindfulness activites,NA,NA,NA,NA,NA,NA,NA,NA,53,3,25,47,15,20,29,5,40,12,15,20,5,10,5,3,6,9,7,32,5,4,8,8,7,8,6,8,13,22,7,Domain,9004,6829,9/28/2023,2
191,"Honestly, my wellbeing hasn't really changed a lot since the study. The week that I completed this study I had three midterms and I was constantly studying and stressed. These wellbeing exercises everyday did help calm me down a little bit because I was under a lot of stress. The exercises though I will be using whenever I am stressed because they did help. However, my wellbeing during the week was changed because I was stressed but my overall wellbeing is still the same. ","Wellbeing means to take care of ourselves, meditating, relaxation. It means our overall state of mind. Wellbeing means that when you have so much stress and you pause for an hour to watch a movie, take a bath and relax",3,4,3,4,3,3,4,2,3,4,3,3,4,3,3,"Happiness,Life Satisfaction,Physical Health",1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,7,"It did change, mindfulness became a way to release my stress ","I already had a lot of stress this week, nothing really changed for me ",I did not really expect anything when I entered the experiment. But I found a way to control my stress ,"I did not notice any change in myself, I just found I was able to manage my stress better.",I really like the experiment and the exercises used were effective. ,6,7,7,7,7,7,7,7,6,I honestly really liked it and found it as an interesting way to complete the experiment. It made it something fun and very interactive ,NA,NA,NA,NA,NA,NA,NA,NA,41,3,34,54,20,44,15,7,54,14,11,29,4,18,6,6,5,9,6,39,12,9,4,8,6,11,9,15,31,18,15,Choice,6117,7204,10/1/2023,2
192,It has changed quite a bit ever since I started now I am able to control my emotions more now and it has helped me calm down ,Wellbeing to me is the ability to be able to control yourself and your emotions to live a better life ,5,4,4,5,5,4,5,5,4,5,3,3,4,5,5,"Family,Mental Health,Happiness",3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,7,I learned that mindfulness is being able to control your self and your thoughts ,For me stress is the same as it was before but I can handle it with a more open mind ,It pretty much met my expectations talking to a bot,"More relaxed and aware of what is happening around me and how I am supposed to react
",No,7,7,5,6,4,5,6,6,7,I was impressed by how it answers my inputs as if it is a real person and also comforts me like I'm texting a friend ,NA,NA,NA,NA,NA,NA,NA,NA,48,3,36,81,40,36,30,5,76,29,26,26,4,20,4,9,7,8,8,50,11,10,10,8,11,14,15,14,29,24,32,Choice,5265,6037,10/1/2023,2
193,Perhaps that my well-being is not so fully dependent on my current thoughts and feelings (because they fluctuate) so it is more so reliant on a long-term trend of my feelings that are not so deeply affected by the little things that upset me within my day-to-day life. ,"I would similarly define well-being as my mental, physical and emotional wholeness. They are very much all intertwined but I feel that my well-being is more stable and not as sensitive to the little setbacks I face from time to time. It is rather a reflection of the long-term circumstances of my life (weekly/monthly/yearly accumulations, rather than daily ones). ",3,3,2,4,3,3,3,3,3,4,3,3,3,3,3,"Family,Physical Health,Education",NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,No,NA,6,"I would say not entirely, but I did discover how mindfulness activities can influence our well-being. ","No, I would just say that I learned how to (deal/respond) (with/to) stressful situations in a more productive manner that involves observing stressful situations and not immediately reacting to them for example. ",I have found the mindfulness exercises to be very helpful and they have helped me understand ways of coping with challenging/unpleasant/stressful situations. This has all contributed toward my goal of finding better ways to cope with stress. ,"I found myself being more self-aware. I never really actively sought after exercises that dealt with my well-being, therefore, I am now able to recognize the necessity of them in different situations. ","I do not know if this is purposeful, but there were only 3 activities for the entire week to choose from, so whilst I got to master some of them, maybe more variety would be helpful. ",7,7,6,7,5,5,6,5,6,I found the chatbot to be really supportive and clear in it's instructions. It was very open to answering questions and always had sweet responses. ,NA,NA,NA,NA,NA,NA,NA,NA,38,3,36,77,36,40,22,5,72,30,25,22,6,18,8,6,10,9,6,55,13,13,11,9,9,12,13,15,28,35,15,Choice,5607,4957,9/28/2023,2
195,I would say my wellbeing has changed significantly since the beginning of this study.,"Wellbeing is the state of not only your physical and mental beings but also a combination of your close relationships, your relationship with yourself and your thoughts and feelings to the things around and within you.",5,5,5,5,5,5,5,4,5,5,3,5,5,5,3,"Family,Happiness,Spirituality",2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,No,NA,7,"Mindfulness is being aware of your surroundings and how your actions can affect others and yourself. Your actions can directly affect you and you might not notice it right away, which is why you need to be more mindful of yourself as well.","No, what was confirmed for me was that stress was indeed my response to things that I worry about and often things I cannot necessarily control.",This study 100% met my goals and expectations. I felt engaged with the activities presented by the bot and the mindful activities were peaceful and relaxing.,I noticed that I am able to observe my thoughts and feelings much better than I did before. I feel more Intune with myself and overall happier and contented. ,No,7,7,7,7,6,7,7,7,7,I think the chatbot was really good. It did not make me feel uncomfortable and the recommendations for the mindful exercise were really nice. ,NA,NA,NA,NA,NA,NA,NA,NA,27,3,42,98,41,47,10,6,83,31,32,35,6,18,3,9,7,9,9,52,13,9,10,9,11,15,15,15,27,34,17,Domain,6912,4390,10/1/2023,2
198,"I believe since the start of the study, I felt that I have discovered new ways to manage my wellbeing via meditation. In fact, it was very influencial that I have introduced people I care for to the meditation activities as it helped me a lot. ","To me now, wellbeing is not just mental, but its physical. Its all the factors of yourself and how well are they taken care of and not neglected or put to the side. It is how much one cares for ones self in all factors. ",4,3,3,4,4,4,3,2,2,3,3,4,4,3,3,"Physical Health,Mental Health,Character and Virtue",NA,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,5,"Definitely did change, as I believed that it was only a mental concept, but now I feel I can understand it a bit better. ","I think that my understanding of stress is about the same, however, i think my understanding with how to deal with it has been changed. ","It met it to a slight degree, giving a headstart to how to start the mindfulness, now I just have to work a bit more towards mastering it. ","I started to enjoy meditation, which is certainly different then what I did before, I started to see the joys of self reflection. ",This experience was very changing and I introduced it to around 3 of my friends so far and participating meditation with one. I am looking forward to implimenting it into my lifestyle. ,5,6,5,6,4,5,5,3,5,"I enjoyed the supportiveness of the chatbot, no matter what you said to it it had something positive to say back. When giving advice it would always be supportive in tone. However, something I disliked was during the mindfulness prompts, it would give the same prompts for each of the mindfulness activities. It would be better if it taught more scenarios of mindfulness. ",NA,NA,NA,NA,NA,NA,NA,NA,42,3,27,82,32,39,29,5,59,30,22,30,3,12,4,7,5,9,8,39,13,5,6,5,10,11,11,8,24,27,23,Choice,3020,6061,10/1/2023,2
199,"I feel that my wellbeing has slightly improved, because I been better capable to deal with stress and not allow negative emotions caused by stress take over my entire day",Wellbeing to me refers to a combination of our mental and physical health,3,4,3,4,3,3,4,3,3,3,3,4,4,4,3,"Mental Health,Family,Close Social Relationships",NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,No,NA,5,"I felt that I was right about mindfulness being centered around focusing on the way we think, and how we can change it to have a more positive outlook.","I think it did, I understood that stress is less about the tasks that you feel are piling up, and more so about the way we perceive our situation","I think the training met my goals because I learned some skills that will be applicable to me in the future, like reframing perceived negatives by considering the positives",I did not notice any significant changes about myself.,"I would suggest having more than 3 exercises, so that everyday has a unique one and it doesn't get repeditive.",5,7,6,7,3,5,4,3,4,"I liked the chatbot, and thought the chatbot was effective at responding appropriately to my chats",NA,NA,NA,NA,NA,NA,NA,NA,27,3,36,90,37,29,12,6,73,25,31,34,5,20,6,5,9,7,6,57,10,10,10,15,12,13,13,12,29,24,12,Choice,4005,7156,10/2/2023,2
200,Not much I'm still the same person as I am the only thing I changed was that I've been more relaxed and less stressed,Wellbeing means to me that your in a good mental and physical state in your current being and that you are perfectly okay ,4,2,4,3,2,3,3,1,5,2,3,3,4,3,3,"Education,Family,Happiness",3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,No,NA,5,Mindfulness changed on like how I view the world the chatbot gave me so many new tips to do and things to help me it gave me a whole new view on the world,No because stress for me is something that is pestering me the whole time and even if I had techniques I just felt the same stress and I think it had the same meaning,It met great expectations it was something that I never expected and it taught me so many new things,Nothing really changed the only thing that changed was I became more observant ,N/a,5,7,7,7,4,7,6,5,7,"I loved it l, it felt like I had a friend to talk to each morning and it helped me rethink my day",NA,NA,NA,NA,NA,NA,NA,NA,55,3,22,53,22,26,27,1,44,15,20,18,3,8,5,6,3,9,9,39,10,6,9,7,7,4,3,9,13,29,12,Domain,6102,5254,10/2/2023,2
201,I’m being able to recognize my feeling and does not raise an emotion before reacting to it,"I still thinking well-being is referring to feeling comfortable about life, being able to support one’s self and receive support from the sour rounding.",3,3,3,3,3,3,4,4,3,3,3,3,4,4,4,"Spirituality,Life Satisfaction,Financial and Material Stability",NA,2,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,No,NA,5,It changes a little bit. I understand mindfulness is a process of self-training.,I understand stress as some events that irritates my minds at this time.,"It met my standard goals, nothing really surprised me but it is helpful overall.",I can apply the mindfulness training into a day-to-day base and continuous train my self to handle stress,"Some of the training guiding was too broad, and repetitive throughout the 7 days of training.",4,7,5,5,3,3,5,4,5,"It is able to respond my conversations, but the caption was moving too fast and I have to scroll back to read them.",NA,NA,NA,NA,NA,NA,NA,NA,46,3,38,94,37,33,15,6,75,30,31,33,3,21,7,5,7,6,6,52,13,10,6,8,15,12,13,11,26,26,36,Choice,8184,5455,10/2/2023,2
202,"not very much, it has only been a week, but i hope to continue to implement these techniques and make it better. ",Wellbeing means a state in which a person can be their best selves,4,4,3,4,3,3,2,3,3,3,3,3,4,2,3,"Safety,Mental Health,Physical Health",NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,7,my understanding of mindfulness has not changed. I still believe it to be a way in which people can reflect to aid their minds to allow them to be present. ,I still think stress is aweful but my overall understanding of stress has not changed. I still believe it to be a state of being that causes physical changes that react to you,"the training has met my expectations, this is what I expected to occur","I gained a little more confidence and ease while doing this, this forcced me to take a few minutes completely to myself.",only one sugestion have video links or have the device read the meditations so the participant can follow along. ,7,7,7,7,4,4,3,3,6,i thought it was good. it worked well and was almost like talking to a person rather than taking to a computer which was not what I was expecting but it was really nice.,NA,NA,NA,NA,NA,NA,NA,NA,44,3,17,32,29,38,28,5,46,8,13,11,5,10,6,6,7,10,6,49,9,11,10,12,7,15,12,6,23,23,4,Domain,8340,6835,9/28/2023,2
203,"I think my wellbeing has improved slightly since the beginning of the study. I already felt content with the level that my wellbeing was at previous to this week, however I do think learning to take a pause from my immediate emotions and engage in mindfulness practices helped me navigate more efficiently through daily stresses. ","I would define ""wellbeing"" as a state of not only satisfaction but also contentment with your personal life, health, relationships etc ",4,5,3,4,3,4,4,3,3,4,3,4,4,4,3,"Happiness,Character and Virtue,Meaning  and Purpose of Life",1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,My understanding of mindfulness changed slightly because I always knew that mindfulness meant paying attention to thoughts and emotions but I also learned how to better separate myself from my thoughts and emotions and not only pay attention to them but watch them as a separate part of myself. ,"The way I understand ""stress"" didn't change, I still see it is as an emotional reaction to negative external or internal issues that we are having difficultly dealing with. ","I think the training met my expectations fairly well, it presented mindfulness activities simply but effectively, and well-communicated how to take on the practices. They were easy to understand and also easy to replicate in daily life outside of the study.","I did notice that I was able to regard my immediate thoughts and emotions as separate from myself, and therefore it allowed me to greater consider my reactions instead of acting impulsively or being controlled by my emotions. ",I enjoyed the study and I wish there were a couple other mindfulness techniques to practice and work on but other than that I enjoyed taking on mindfulness from a new perspective that I hadn't tried before. ,7,7,7,7,6,6,6,6,7,"The chatbot was really good I felt it was great at communicating effectively and clearly, and it made the process very easy to understand and navigate. I liked its encouragements, it wasn't too robotic and it felt surprisingly human to talk to.",NA,NA,NA,NA,NA,NA,NA,NA,35,3,39,81,38,42,24,6,77,25,26,30,6,14,6,8,6,6,6,56,13,14,9,8,12,15,15,15,27,29,5,Choice,9790,7210,10/2/2023,2
210,Changed from thinking of it as your general health to your capability of improving yourself,Wellbeing is a state of good mental and physical health as well as the ability to upkeep that healthy lifestyle,3,2,3,4,3,3,2,2,3,3,3,3,3,3,3,"Physical Health,Mental Health,Meaning  and Purpose of Life",NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,4,"Mindfulness is a state of understanding your thoughts and feelings through a lense that does not judge them as good or bad, just there. ",I still believe stress is a response to unpleasant things in like because it is what I feel when I’m upset,"It has made me understand mindfulness better but overall, I just found it difficult to talk about meditation with a robot as I expected it would be for me",I have not notice any change about myself while participating in this study,"Sometimes the bot veers off track or tries to finish a sentence of mine which catches me off guard, overall I just personally find it difficult to have a mindfulness session with an AI bot",6,6,4,3,2,4,4,4,3,I think it would be a useful tool for people who don’t have anyone to talk to in their life. For me personally I just found it difficult to connect with it and understand what exactly it wants from me,NA,NA,NA,NA,NA,NA,NA,NA,43,3,30,61,31,26,28,4,61,17,20,24,2,9,5,6,6,6,7,45,11,7,9,9,9,10,8,6,18,30,5,Choice,5276,3820,10/2/2023,2
