,Duration (in seconds),Practice_Rating,Practice_LikeDislike,Apply_Practice,BaselineDate,Condition,RandomID,id,StudyDay,CurrentDate,Positive_pre,Negative_pre,Stress_pre,Positive_post,Negative_post,Stress_post,Disidentification,Nonreactivity,Reappraisal,Satisfied,Autonomy,Relatedness,Competence,Belonging,Meaning,PosAffect,NegAffect,Stressed
1346,458,7,I have done this activity before so I have grown used to it's process. I enjoy the re-affirming feedback in the end from the chat bot. ,"As I mentioned in the exercise, I used this method in a situation today with my friend and was able to de-escalate a situation that could have been worse if I had not dealt with my anger. In any similar situations, I hope to do the same. 
",9/28/2023,Choice,5607,4957,6,2023-10-04T00:00:00.000Z,4,1,1,4,1,1,3,6,6,5,5,5,7,7,6,4,1,1
1347,47433,5,I liked how it was presented in manageable steps that can be easily replicated outside of the session,"I think just anytime I'm ruminating about something in the past or stressing about something in the future I can just remember that there is always some positive to be found, even if the positive is just that the experience is over, or if I now know not to engage in certain things. It also helps with fear over the future because even negative experiences can have positive aspects so you never really know how things are going to turn out until you experience them, so there's really no point in stressing out about it or being scared.",10/2/2023,Choice,9790,7210,2,2023-10-04T00:00:00.000Z,3,2,2,3,1,2,4,5,6,5,5,5,6,3,5,3,1.5,2
1351,24844,4,"I was hoping it would be different than meditation, since the last couple of days have been about meditation.","Yes, as meditation is a simple activity that doesn't require anything except for patience & yourself. It can be done whenever I have time for a moment of rest, but I can do it in moments of stress or uncertainty. ",9/28/2023,Value,8827,6838,6,2023-10-04T00:00:00.000Z,2,1,2,2,1,1,5,5,5,4,4,6,5,5,5,2,1,1.5
1352,431,5,"I liked how you gave many options on what to do in your free time, I hope there would be even more added and maybe some suggestions with trying a new hobbie and maybe give some videos or like other tips ","Will start doing things to take care of myself more, expressing myself and using my time more wisely",10/2/2023,Value,6102,5254,3,2023-10-05T00:00:00.000Z,3,2,3,3,1,3,4,4,3,3,3,4,4,4,2,3,1.5,3
1354,574,6,I liked how calming the meditation was and how much it made me realize what I was grateful to have or do today. ,I can practice it in the morning before I get to school so I can have something to look forward to getting to that day without it being fully depressing. ,9/29/2023,Value,3213,5404,6,2023-10-05T00:00:00.000Z,3,2,4,3,1,4,6,7,3,5,5,5,4,5,3,3,1.5,4
1355,468,5,a bit calming,learning to focus on the positives in life and BREATHE,9/29/2023,Choice,1366,7168,6,2023-10-05T00:00:00.000Z,1,4,7,1,5,7,4,3,4,1,4,6,1,6,2,1,4.5,7
1357,828,5,I liked the examples of applying the technique ,Imagine that my stressors are a performance and i am watching from a distance.,9/30/2023,Choice,3939,6127,5,2023-10-05T00:00:00.000Z,2,2,4,2,2,3,4,5,4,5,4,3,5,4,4,2,2,3.5
1358,580,4,i disliked the visualization because i can't visualize,i can use my senses while thinking of things i'm grateful for,9/28/2023,Value,9004,6829,7,2023-10-05T00:00:00.000Z,1,1,4,1,1,4,4,3,2,3,4,5,3,1,4,1,1,4
1360,978,5,"I liked the mindful study breaks, where you do the pomordoro technique.",I would incorporate more mindful study breaks into my daily life to be honest,9/30/2023,Value,2359,7177,5,2023-10-05T00:00:00.000Z,4,2,3,4,1,2,5,4,5,4,3,7,6,6,3,4,1.5,2.5
1362,445,6,Just like usual it talks about how I need to stay clam and relax in hard situation. Ut also talks about how I need to find good in bad even thought it just once more importantly I need to see things from different perspectives so that I can see what I’ve been not seeing. ,I can apply this stuffs in my daily life as stressful event happens once a day. I think I’ll try my best to see things from different perspectives becasue I don’t think inuslly do jt ,9/30/2023,Choice,9568,3376,5,2023-10-05T00:00:00.000Z,2,1,5,3,3,6,5,4,5,2,4,6,5,3,4,2.5,2,5.5
1364,480,4,I like the recommended activities,I can do the activity everyday,10/2/2023,Value,2764,7213,3,2023-10-05T00:00:00.000Z,3,2,4,3,2,3,2,6,5,4,6,5,5,2,2,3,2,3.5
1370,616,5,Self reflecting with guiding is beneficial that help me to start and continuous sequentially. Reflecting on my self may some time not being able to start at the first place.,Self reflecting can help me understand where I did wrong and where I need to improve in my daily life. It helps me to improve my action,10/2/2023,Choice,8184,5455,3,2023-10-05T00:00:00.000Z,3,1,2,4,1,1,2,2,1,6,6,7,7,6,5,3.5,1,1.5
1371,721,5,I like the idea or it but i dislike the idea of it being in a way a task needed to be checked off. i like how it reminded me and gave me examples of what needs to be done,Remind and recognize when I am feeling strong feelings and to let myself know that it is time to use disidentification. ,10/3/2023,Choice,7126,5476,2,2023-10-05T00:00:00.000Z,5,2,3,5,1,2,3,6,4,6,7,6,5,5,7,5,1.5,2.5
1372,805,4,i liked how i was able to pictire my thoughts the way the bot explained them ,i can think about how i can be seperate from my negative thoughts and view them as something passing by ,10/1/2023,Choice,5265,6037,4,2023-10-05T00:00:00.000Z,2,4,7,3,4,7,4,5,5,4,7,7,6,7,5,2.5,4,7
1374,734,5,I liked imagining my thoughts in the ways described ,"Often times, my negative thoughts control me but I can use this exercise to remember that they're just thoughts and they will eventually pass by like a storm and I can still stay calm. ",9/28/2023,Choice,2464,6658,7,2023-10-05T00:00:00.000Z,4,1,2,4,1,2,3,4,3,6,5,2,6,6,5,4,1,2
1376,486,7,"I liked that I can do it from anywhere, it is at my convenience ",I can do this whenever I feel like my emotions are overpowering me and when I feel like I have no control of my thoughts or emotions. This practice will help me calm down. ,10/1/2023,Choice,6117,7204,4,2023-10-05T00:00:00.000Z,5,2,2,5,2,1,6,5,4,7,6,6,6,5,7,5,2,1.5
1379,4916,5,I liked gaining a new perspective on emotions and reactions and learning that you can observe them without being consumed by them and immediately reacting.,In my daily life I can take note of and observe my emotions and any changes in my state of mind so that when I'm faced with a challenge or negative thoughts and feelings I can be more aware of these feelings as a separate thing from myself. Noticing the distinction between myself and my emotions can help me understand not only the way I feel but also how to react in a way that isn't impulsive or controlled by my emotions.,10/2/2023,Choice,9790,7210,3,2023-10-05T00:00:00.000Z,4,1,1,4,1,2,5,5,6,6,6,6,7,3,6,4,1,1.5
1382,768,6,I appreciate journaling and writing things help me look at things objectively.,I will apply this every time I feel unpleasant.,9/28/2023,Value,9470,7072,7,2023-10-05T00:00:00.000Z,4,2,2,5,1,1,1,6,4,7,5,4,4,5,4,4.5,1.5,1.5
1383,587,4,I did this at the wrong time of day but I do like the idea,I may start once a week instead of daily but then do it more often,9/28/2023,Value,8340,6835,7,2023-10-05T00:00:00.000Z,3,1,5,3,1,4,2,3,5,5,5,4,5,4,5,3,1,4.5
1385,980,5,I disliked how little the overall exercise did to change or help me from a psychological perspective.,By meditating and using mindful practice to relieve stress and reduce sadness whenever I feel sad or feel like i can't cope with certain issues.,10/3/2023,Choice,2456,3364,2,2023-10-05T00:00:00.000Z,3,1,5,3,1,4,4,5,6,5,4,4,6,5,5,3,1,4.5
1386,783,5,"I liked that the exercise focused on turning negatives into positives since this feels like a strategy that can be very useful and applicable in several situations, and I find immediately useful to my own life","I felt that it was very applicable to me currently, as I have been focusing on studying a lot lately and even though its not always fun or enjoyable, thinking about the positives that it will bring makes it seem worth it to me",10/2/2023,Choice,4005,7156,3,2023-10-05T00:00:00.000Z,3,1,3,3,1,3,3,5,5,6,6,3,6,7,5,3,1,3
1387,440,5,I liked how the robot kept on continuously giving good and positive feedback. It calmed me down a bit and it felt good.,I can apply them every time I need to get away from my thoughts and act like they're not there. ,10/3/2023,Choice,2751,5272,2,2023-10-05T00:00:00.000Z,3,1,4,3,1,3,4,4,4,4,4,5,3,4,4,3,1,3.5
1390,537,4,I enjoyed the creation of the personal values list as i tend to easily forget them but writing them down makes them cleaer to me. Theres nothing in todays exercise that i disliked.,"Once and awhile, aas i forget why im doing the things im doing i will force myself to remember as i create a lit of my personal values.",10/2/2023,Value,6268,6334,3,2023-10-05T00:00:00.000Z,1,4,7,2,4,7,3,3,2,2,1,5,2,4,4,1.5,4,7
1393,903,7,I liked that this exercise helped my bring my focus on my own body rather than what people may perceive of it.,"Before I start to exercise, I can do the body scan and acknowledge that I am the one benefitting from this so only my opinion should matter, in this way, I wouldn't feel as self-conscious. ",10/1/2023,Value,6912,4390,4,2023-10-05T00:00:00.000Z,5,1,1,5,1,1,7,6,7,7,7,7,7,7,7,5,1,1
1394,1145,5,I liked the exercise but not as much as I could've because the relief was not as instant but it brought some relief at least.,I can use it any time I feel stressed now to ground myself and get out of my head for a bit.,10/3/2023,Value,5990,7243,2,2023-10-05T00:00:00.000Z,3,3,5,3,2,4,3,5,4,5,5,3,2,3,1,3,2.5,4.5
1396,539,4,It involved imagery which is more easier for me. ,"Like I said for the last practice, I can start using it when I’m super stressed and need a break away from my thoughts. ",10/3/2023,Choice,9753,3508,2,2023-10-05T00:00:00.000Z,2,1,3,3,1,2,5,6,5,4,2,3,5,5,3,2.5,1,2.5
1397,537,6,"I guess it would be nice to approach the exercise differently, because I have done it many times and it has become slightly repetitive ","Well, I intend to weigh in on the good and the bad of each day or each situation and will attempt to find something good, no matter how much I may struggle, so that I learn to appreciate even the smallest of things that come from challenging situations ",9/28/2023,Choice,5607,4957,7,2023-10-05T00:00:00.000Z,3,1,3,3,1,2,4,5,6,5,5,6,5,7,6,3,1,2.5
1398,440,5,I liked how simple yet effective it was. ,"I can take a step back and appreciate the little things, recognize what I’m grateful for, and adopt a positive outlook. ",10/3/2023,Value,7994,5650,2,2023-10-05T00:00:00.000Z,3,1,2,3,1,2,3,4,3,5,4,6,4,5,4,3,1,2
1400,711,6,I like the reminder that looking for the good in a bad situation gives hope and good feelings for the next,"Remind myself that although I’m in a not so good situation right now, it’ll be temporary and I don’t have to beat myself up over it because I can learn something from my hardships",10/2/2023,Choice,5276,3820,3,2023-10-05T00:00:00.000Z,3,2,2,3,1,1,5,4,6,5,5,2,3,5,2,3,1.5,1.5
1401,707,6,The chat bot was very nice to me today and I felt happy that he was nice to me and motivated me. This sounds stupid because it is a bot but I appreciated him very much idk I will miss you chat bot when this experiment is over. So ,"I can apply this when im feeling stressed about my assignments and want to feel accomplished with myself, etc, etc e,tc ",10/1/2023,Choice,3020,6061,4,2023-10-05T00:00:00.000Z,3,1,2,3,1,1,6,7,7,5,3,4,4,5,6,3,1,1.5
1405,1090,5,I would have liked it if it was more different than the happiness one. It was too similar so I was dissapointed that it was going to be my last one.,"My answer for day one applies to this perfectly. As well as my previous answers before. These activities have been about improving one's wellness, & they're short & simple. They are tasks that can be done anytime & anywhere if just a few moments are spared.",9/28/2023,Value,8827,6838,7,2023-10-05T00:00:00.000Z,1,3,2,1,3,2,1,1,1,2,2,1,2,2,2,1,3,2
1410,1579,4,I liked how they gave you many  options on what to do with your partner,Try to follow these practices that the bot had given me,10/2/2023,Value,6102,5254,4,2023-10-06T00:00:00.000Z,1,5,7,1,5,7,5,3,4,5,4,3,4,3,5,1,5,7
1411,570,3,I like how easy chatbot is to use. There's nothing I don't like about this experience. ,I can take a step back and spectate my negative emotions to alleviate stress.    ,10/4/2023,Choice,6542,6280,2,2023-10-06T00:00:00.000Z,1,3,3,1,1,2,2,2,2,2,3,1,1,1,3,1,2,2.5
1412,472,6,The description is a little vague. If there is more guiding or leading it will be easier to follow/,"Try to image finding good things in tough situation. Relax and does not react with the negative emotions, only notice them,",10/2/2023,Choice,8184,5455,4,2023-10-06T00:00:00.000Z,4,1,1,5,1,1,1,4,3,7,7,7,7,5,7,4.5,1,1
1416,721,2,I still feel stressed ,idk,10/2/2023,Value,6268,6334,4,2023-10-06T00:00:00.000Z,1,5,7,1,5,7,5,2,2,2,2,2,1,4,3,1,5,7
1418,1871,6,It was good to go back and do some of my hobbies in a short amount of time,I will make sure to doodle or draw at the back of my notebooks for around 10 minutes everyday. ,9/29/2023,Value,3213,5404,7,2023-10-06T00:00:00.000Z,3,2,6,3,2,6,5,6,4,5,5,6,4,5,4,3,2,6
1419,902,6,I liked how it acknowledged my feelings and let me have a self reflection on it. I was feeling a bit down today but i igonored my feelings instead of recognising that I am not feeling okay and that there still can be something done to improve my mood. ,I can apply this mindfulness practice by trying to find positive ways into tough times. I think I should recognize that it is better to acknowledge feelings rather than put them aside and not do anything to improve them. ,10/3/2023,Choice,7126,5476,3,2023-10-06T00:00:00.000Z,2,2,1,3,2,1,3,3,2,3,3,3,2,2,1,2.5,2,1
1420,590,4,I liked that the exercise made me consider the bigger picture of my actions and how I shouldn't always let my emotions get in the way of that ," I can apply this practice in my daily life with studying, because even though studying can often feel unpleasant or tedious, when considering the bigger picture I understand that it will be worth it and I should not let my emotions sabotage my chances for success.",10/2/2023,Choice,4005,7156,4,2023-10-06T00:00:00.000Z,1,1,3,2,1,2,1,4,6,5,4,2,5,7,3,1.5,1,2.5
1421,914,5,Calming and easy to do,Quickly reanalyze my situtation and events during the day and focus on positives,9/29/2023,Choice,1366,7168,7,2023-10-06T00:00:00.000Z,1,1,2,1,1,1,4,4,4,3,3,3,3,3,3,1,1,1.5
1423,1233,5,I liked how it helped me understand how to be less stressed and more understanding of things around me.,I can apply this by using it after stressful events or while I am tired to help calm my mind.,10/3/2023,Choice,2456,3364,3,2023-10-06T00:00:00.000Z,2,2,4,3,1,4,5,5,5,4,4,3,5,4,6,2.5,1.5,4
1425,7636,4,I like the options of things that I would want to talk about,I can keep working on my perspective of things,10/2/2023,Value,2764,7213,4,2023-10-06T00:00:00.000Z,2,2,6,3,1,5,1,3,5,2,7,6,4,1,2,2.5,1.5,5.5
1426,785,4,"I liked that it was different from the previous exercise I did. It was based more on reflection than imagery. Although imagery comes easier, I feel that reflection is more helpful.","I think I can apply the mindfulness practice maybe not in daily life, but more few times a week. I feel that reflection should happen once in a while, not everyday, and its good to reflect on the past week and situations that have stressed you. I guess I could apply this practice at the end of every week to reflect on my week and give myself positive reinforcement for the next week.",10/3/2023,Choice,9753,3508,3,2023-10-06T00:00:00.000Z,1,3,6,1,2,5,6,6,2,3,2,2,2,4,3,1,2.5,5.5
1429,2168,7,I liked that it was very relaxing ,I can use it at all times whenever I feel stressed ,10/1/2023,Choice,6117,7204,5,2023-10-06T00:00:00.000Z,5,1,2,5,1,1,6,4,3,7,7,3,7,7,7,5,1,1.5
1431,446,6,"I liked writing down things I am grateful for and essentially, I was able to think of adversities and something to learn from and feel grateful for instead of coming from stress. ",I would do more gratitude journalling and meditation to help myself be more productive in my life. ,9/30/2023,Value,2359,7177,6,2023-10-06T00:00:00.000Z,4,1,2,5,1,1,6,7,5,5,5,6,6,7,6,4.5,1,1.5
1433,598,4,"I disliked the recommended exercise because to be honest it did not cater to what I needed this time. I wanted something more on the recreational just recreational side rather than mental health, but I guess it was calming and nice to be out in nature","I guess if I ever want to calm myself down and move around, then I could take that moment to practice today's mindfulness exercise.",10/3/2023,Value,5990,7243,3,2023-10-06T00:00:00.000Z,5,1,1,5,1,1,1,6,7,7,6,3,5,7,6,5,1,1
1434,1840,4,"Not very feasible for me to be honest, mostly neutral about the excercise though, someone less neurodivergent than me might be able to use it better",I guess I can try slowing down judgement before I jump into a situation but it really puts me in a mentally bad spot to look at a bad situation without doing something about it immediately,10/3/2023,Choice,9671,5317,3,2023-10-06T00:00:00.000Z,2,2,2,1,1,2,3,2,3,3,1,2,5,4,5,1.5,1.5,2
1437,1013,7,"This activity really made me enjoy all the moments in my life, even the bad ones because from those i was able to grow into a better person.","Before going to bed, I will write down my thoughts, feelings, and gratitude.",10/1/2023,Value,6912,4390,5,2023-10-06T00:00:00.000Z,5,1,1,5,1,1,6,7,6,7,7,7,7,7,7,5,1,1
1438,600,5,I like how it put feelings and the individual into different perspectives,Remind myself feelings and emotions are temporary and neither good or bad. Just reactions to a definitive situation ,10/2/2023,Choice,5276,3820,0,2023-10-06T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,557,5,I liked learning about multiple new perspectives to help use to be merely a witness to my thoughts and emotions.,In my daily life I can take time to observe my passing emotions without holding onto them or letting them overtake me. This can help when making decisions or reacting to things because I can better process my emotions from a clearer perspective. ,10/2/2023,Choice,9790,7210,4,2023-10-06T00:00:00.000Z,3,1,1,4,1,1,5,4,5,5,6,5,5,3,5,3.5,1,1
1444,1119,6,No everything was nice ,I can think about the positive side of the issue and move on from there. This is really affective in coping with stress,10/1/2023,Choice,5265,6037,5,2023-10-06T00:00:00.000Z,5,1,5,4,1,1,3,4,4,6,6,4,5,6,5,4.5,1,3
1447,590,5,I liked how close and connected it made me feel to my friends. , I can apply this by practicing gratitude for all of my close social relationships and remembering how content and whole they make me feel. ,10/3/2023,Value,7994,5650,3,2023-10-06T00:00:00.000Z,3,2,4,4,1,2,2,3,4,7,3,7,5,6,6,3.5,1.5,3
1448,32769,1,didn't feel any particular way,be consistent,9/30/2023,Value,7553,4993,6,2023-10-06T00:00:00.000Z,2,2,2,2,2,2,4,4,3,3,2,2,3,3,4,2,2,2
1449,461,6,Separates myself from stress,Take moments in my day to simply reflect and observe ,9/30/2023,Choice,3939,6127,6,2023-10-06T00:00:00.000Z,5,1,2,5,1,1,7,7,7,7,7,4,5,4,7,5,1,1.5
1450,819,5,"MY FINGER SLIPPED I ACCIDENTALLY CLICKED THE BUTTON ON THE BOTTOM BY ACCUDENT SO ILL FILL OUT THE SCALES HERE. i felt the same happiness and stress level in the activities, a disconnection scale from a low amount from around 4 for both questions and a positive affirmation amount of 5. for belonging to a school around 3, and for feeling socially connected around 4. i enjoyed thinking positively, but i feel i a, missing the importance of flipping my world point lense to think bad in a good situation. i really did. my best, however. ","i could apply ir by.. i don’t know about thinking negativily in a positive situation, but thinking positive in a negative always works",10/1/2023,Choice,3020,6061,0,2023-10-06T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1452,591,6,I liked the examples,Find positives and focus on them,9/30/2023,Choice,3939,6127,7,2023-10-07T00:00:00.000Z,5,1,1,5,1,1,7,4,7,7,7,4,7,4,7,5,1,1
1454,2037,6,I felt like the exercise felt a little redundant with the meditation practices.,"Add it into my daily routine, like brushing my teeth",9/30/2023,Value,2359,7177,7,2023-10-07T00:00:00.000Z,3,1,1,3,1,1,5,4,6,5,6,5,5,7,7,3,1,1
1455,635,4,I like the recommended activities,I can do this activity whenever I feel like I'm loosing the sense of relationships,10/2/2023,Value,2764,7213,5,2023-10-07T00:00:00.000Z,4,1,1,4,1,1,1,2,7,6,6,5,5,1,5,4,1,1
1458,455,6,I like the recommendation like usual cause eve time I talk with that bot I feel better and much for reflex so I would say that there is nothing I dislike ,I will practise it doing often and try to not game thing fast and make dicision riht away. I will not let my emotion control me and make the thing worse. I will try to stop doing thing and give my self dew time if I feel sad or angry. ,9/30/2023,Choice,9568,3376,7,2023-10-07T00:00:00.000Z,2,4,5,3,2,3,4,4,5,5,5,5,6,5,5,2.5,3,4
1459,503,5,"I liked that it made me realize that even when I am going through a negative experience with negative emotions, those feelings will go away after the negative experience has passed and I will be a better person because of it.","I can apply the mindfulness practice into my daily life by trying to consider the benefits of my actions without allowing negative emotions stop me. For example, If I feel I need to go to the gym and exercise, I won't skip it just because I'm feeling lazy.",10/2/2023,Choice,4005,7156,5,2023-10-07T00:00:00.000Z,4,1,1,5,1,1,5,6,7,7,7,4,7,7,7,4.5,1,1
1461,461,5,I liked how it was step by step and really had me thinking of how to be more positive,I can apply the mindfulness practices in my daily life by referring to them whenever I have a negative thought and need something positive to cheer me up and get me in a better mood.,10/3/2023,Choice,2751,5272,4,2023-10-07T00:00:00.000Z,4,1,1,4,1,1,4,4,5,6,5,6,6,5,5,4,1,1
1464,613,5,I really liked the amount of information that will help me with my well being ,"I can journal, think about calm things, and be happy over all ",10/1/2023,Choice,5265,6037,6,2023-10-07T00:00:00.000Z,5,2,3,4,2,3,5,3,4,5,5,4,5,4,5,4.5,2,3
1465,492,5,"It’s something I know for a quite while, therefore the exercise is a guided review for me","Realize when I am under stress, I will conduct the mindfulness meditation and other training methods.",10/2/2023,Choice,8184,5455,5,2023-10-07T00:00:00.000Z,4,1,1,4,1,1,5,2,3,7,4,6,6,6,5,4,1,1
1466,710,6,"I actually liked this exercise more than the last one I did (the one that made me look at my emotions as something outside of myself). I didn't dislike anything about it. I was stressing about my chemistry exam but this made me feel better. I already use this method in my day-to-day life because my dad has always comforted me like this. Whenever something goes bad, he says ""just learn from it and do better next time"". But I've noticed that writing my feelings down in this exercise helped me even more with understanding how I feel and thinking of improvements for my next midterm. ","I can apply this practice whenever something bad happens. Hopefully, I won't need to do this after my next midterm...",10/4/2023,Choice,6542,6280,3,2023-10-07T00:00:00.000Z,2,1,2,3,1,2,2,4,6,4,3,2,1,1,2,2.5,1,2
1467,2434,7,I liked that this exercise focused on not only recognizing that my friendships are important but also the relationship i have with myself and the way i view my self. Reinforcing positive affirmations.,"during my free time, I can sit down and recite the mantra to myself.",10/1/2023,Value,6912,4390,6,2023-10-07T00:00:00.000Z,5,1,1,5,1,1,6,6,6,6,6,7,7,7,7,5,1,1
1471,548,5,I liked how easy it was to follow and how good it made me feel afterwards. ,I can apply the recommended mindfulness practice to my daily life by taking a moment of reflection and breather when there is stress in my workplace as a means of grounding myself and shifting my focus.   ,10/3/2023,Value,7994,5650,4,2023-10-07T00:00:00.000Z,3,2,3,4,1,2,3,4,4,6,5,7,5,5,6,3.5,1.5,2.5
1475,447,4,"I disliked it because I did not see it as much of an exercise, but really just something that I already do and it didn't help me navigate my confusion surrounding religion.","I already apply it, though I guess I could apply it more often as a way to rely on my religion as a stress reliever.",10/3/2023,Value,5990,7243,4,2023-10-07T00:00:00.000Z,5,1,2,5,1,3,6,6,6,7,7,6,3,6,5,5,1,2.5
1476,4372,5,I really liked the recommendation of looking at your emotions more freely like cloud flowing by constantly.,I can apply these when I am unsure of the emotions going through my mind. It will allow me to collect my emotions more throughly.,10/3/2023,Choice,7787,5524,4,2023-10-07T00:00:00.000Z,3,1,2,4,1,2,4,5,5,6,3,5,4,5,4,3.5,1,2
1477,532,5,Trying to not react immediately to a situation might be difficult for me because I need time to think and sometimes I’m simply not given the time to,I can remove myself from a situation in order to collect myself and be able to express my true feelings in a non aggressive but true to what I feel way,10/2/2023,Choice,5276,3820,5,2023-10-07T00:00:00.000Z,2,1,2,2,1,2,6,5,5,4,5,2,3,4,2,2,1,2
1479,4576,4,I disliked how lackluster the overall lession was.,I don't believe there is much I can use this in overall.,10/3/2023,Choice,2456,3364,0,2023-10-07T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1482,995,5,"I already did this exercise before, but I didn't dislike it. I feel like it gives me the practice and time for deidentification so I liked it. ","Like I've said before, taking a moment to relax whilst stressing in situations and doing this practice can help me deidentify and de-stress in my daily life whenever I feel distressed.  ",10/3/2023,Choice,9753,3508,4,2023-10-07T00:00:00.000Z,3,1,2,3,1,2,6,6,4,5,2,2,4,4,2,3,1,2
1483,1124,5,"I enjoyed hearing the bot speak about how to pursue certain things, it helped me apply it to my everyday life and I definitely think it released some emotional burden.","I applied it to my life when it came to emotions, however, I was in a bit of physical pain, so I am not sure how to apply it when it comes to that. ",10/1/2023,Choice,3020,6061,6,2023-10-07T00:00:00.000Z,3,4,3,3,3,3,4,5,4,5,5,7,5,5,7,3,3.5,3
1486,456,4,it was nice kind of relaxing but streeful at the same time as the thoughts in which came up in my mind were strange to think about on purpose but interesting as i enjoy the aspect of me thinking of them ,when i feel confused about myself i can sit somewhere relaxing and ponder to myself for a bit to clear my mind a bit,10/2/2023,Value,6268,6334,5,2023-10-07T00:00:00.000Z,2,1,4,2,1,4,4,3,2,3,2,3,1,4,2,2,1,4
1490,521,3,I liked that gave you options like I asked if there were any other exercises just in case if the first main one didn't work and gave me so much more things to try,Testing out all the recommended exercises and too see if it actually works and if it doesn't work just have an open mind and try another exercise there are many exercises to choose from which is what's good about the bot,10/2/2023,Value,6102,5254,6,2023-10-08T00:00:00.000Z,4,2,3,3,3,2,2,4,4,4,3,4,4,4,2,3.5,2.5,2.5
1492,632,5,Everything was really nice ,I can think of the situation first and then analyze without reacting with stress and anger right away. ,10/1/2023,Choice,5265,6037,7,2023-10-08T00:00:00.000Z,3,2,3,4,3,4,4,5,5,4,5,6,6,5,6,3.5,2.5,3.5
1493,650,3,"I liked that the session allowed me to consider my thoughts as seperate from my sense of self. I disliked that the exercise is the same as it was earlier in the week, because it felt repetitive and less effective .","By considering my thoughts and sense of self as separate things, I can be sure not to let my thoughts influence my actions in a negative way. When I feel nervous or anxious to do something that will be beneficial, I can try to remember that those thoughts do not need to stop be from being successful. ",10/2/2023,Choice,4005,7156,6,2023-10-08T00:00:00.000Z,2,1,1,2,1,1,6,4,3,5,3,4,3,5,4,2,1,1
1495,1242,7,"Bringing my attention to not only the big achievements in life but also the small ones made me really appreciative of the things in my life. Without those small wins, I would not have been able to make those big achievements and be where i am now.",Before I go to bed I can reflect on the day and do this meditation.  ,10/1/2023,Value,6912,4390,7,2023-10-08T00:00:00.000Z,4,1,2,5,1,1,6,6,6,7,7,7,7,7,7,4.5,1,1.5
1496,787,4,I like that it encourages you to take time to think before reacting to emotions. I kind of which it allowed me to go back or redo some of the questions where I had to rate how joyful I felt for example. Because sometimes I feel a certain way but I don't take into account how I felt earlier that day. ,I can apply this when people or situations upset me. It is important to reflect before reacting so you don't do things you may regret later. ,10/4/2023,Choice,6542,6280,4,2023-10-08T00:00:00.000Z,1,1,1,1,1,1,3,6,6,3,2,4,4,2,3,1,1,1
1497,529,5,I liked how its step by step and really goes into detail so that I know what Im doing,"i can apply this mindfulness practice during times of stress, difficulty, and when I need something to separate me from my thoughts",10/3/2023,Choice,2751,5272,5,2023-10-08T00:00:00.000Z,5,1,1,5,1,1,5,5,5,7,5,4,6,5,5,5,1,1
1500,508,6," It is just basically repeating the previous practice, but it is helpful.","When I am under stress, I would like to realize and think about some positive consequences of the challenges. ",10/2/2023,Choice,8184,5455,6,2023-10-08T00:00:00.000Z,4,1,1,4,1,1,3,4,2,5,7,7,6,6,7,4,1,1
1502,532,7,it was relaxing ,everyday ,10/1/2023,Choice,6117,7204,7,2023-10-08T00:00:00.000Z,5,1,1,5,1,1,7,7,7,7,7,7,7,7,7,5,1,1
1503,444,5,I liked how simple it was to follow yet how effective and calming it truly was. ,I can apply the recommended mindfulness practice in my daily life by taking a breath when things are challenging and reminding myself that everything is going to be okay.  ,10/3/2023,Value,7994,5650,5,2023-10-08T00:00:00.000Z,3,4,5,3,2,4,4,4,4,3,4,5,5,5,6,3,3,4.5
1507,697,5,I really liked the recommendations it gave in doing deep breaths and thinking about the positive in difficult situations. It allowed me to look beyond the negative aspect.,"I can apply these when I am going through difficult situations where negative emotions come to my mind. It can help me look past the negative side of things and see how it can be positive. For example, if a test at school didn’t go well, I can change my mindset and look at it as a way to grow and improve  for future tests.",10/3/2023,Choice,7787,5524,5,2023-10-08T00:00:00.000Z,3,4,5,4,3,4,5,4,6,5,5,5,5,5,5,3.5,3.5,4.5
1509,8849,4,I like the recommended activites,Do these activities when I feel stressed,10/2/2023,Value,2764,7213,6,2023-10-08T00:00:00.000Z,4,1,1,4,1,1,1,7,7,5,7,7,7,1,6,4,1,1
1510,31152,3,I still don't think toxic positivity is the right way to deal with issues. Its suffocating.,"I can try to find a silver lining in every situation I guess, I'm not going to guarantee that silver lining doesn't come with a plethora of issues",10/3/2023,Choice,9671,5317,5,2023-10-08T00:00:00.000Z,2,4,5,1,2,4,2,2,2,3,2,4,5,5,1,1.5,3,4.5
1511,1568,6,"I liked listening to the bot's positive reassurance. However, I dislike how all of these activities seemed like a repeat of one another for each day of the week. I really wish to impliment this mindness into my current life. ",I could apply it by being positive to these emotions in my life,10/1/2023,Choice,3020,6061,7,2023-10-08T00:00:00.000Z,4,1,1,5,1,1,6,6,7,7,4,7,6,5,6,4.5,1,1
